Campaign Name,Start Date,End Date,Channel,Cost,Leads Generated,Conversion Rate,Customers Converted,Revenue Generated
Back to School Campaign 1,2023-03-13,2023-03-30,Print,2263.97,97,0.66,64,10664.93
Back to School Campaign 2,2023-02-25,2023-03-22,Google Ads,6849.52,55,0.33,18,4944.94
Q1 Launch Campaign 3,2023-06-10,2023-06-18,Email,8054.22,556,0.76,425,203651.47
Holiday Special Campaign 4,2023-03-06,2023-03-26,TV,4183.17,509,0.26,133,15370.78
Holiday Special Campaign 5,2023-01-15,2023-02-13,Google Ads,6769.53,420,0.15,64,5085.03
Q1 Launch Campaign 6,2023-01-27,2023-02-13,Print,9479.41,643,0.84,540,73677.63
Summer Sale Campaign 7,2023-02-20,2023-03-18,Email,5304.02,61,0.39,24,5379.73
Summer Sale Campaign 8,2023-06-20,2023-06-30,Print,3184.46,610,0.28,172,63071.13
Holiday Special Campaign 9,2023-02-19,2023-03-12,Email,1702.64,606,0.67,407,47698.11
Holiday Special Campaign 10,2023-05-01,2023-05-23,Print,9474.65,227,0.79,179,52450.37
Q1 Launch Campaign 11,2023-04-05,2023-04-23,Email,1025.79,574,0.05,30,9412.69
Summer Sale Campaign 12,2023-06-28,2023-07-26,TV,5895.39,689,0.79,545,159491.45
Back to School Campaign 13,2023-04-14,2023-04-24,Email,6140.23,143,0.49,70,23656.76
Holiday Special Campaign 14,2023-06-21,2023-07-07,Google Ads,9853.52,263,1,262,25641.76
Winter Promo Campaign 15,2023-04-02,2023-04-14,Google Ads,7198.37,703,0.92,648,70261.62
Q3 Blitz Campaign 16,2023-04-07,2023-05-07,Google Ads,6369.96,552,0.36,201,15788.45
Q1 Launch Campaign 17,2023-05-28,2023-06-23,Email,6022.03,809,0.68,551,105633.23
Summer Sale Campaign 18,2023-01-21,2023-02-07,Print,6574.77,669,0.75,500,227505.17
Back to School Campaign 19,2023-05-15,2023-05-24,Radio,2927.84,948,0.78,743,71335.3
Holiday Special Campaign 20,2023-05-06,2023-05-13,Print,3356.19,486,0.56,274,76340.05
Summer Sale Campaign 21,2023-03-28,2023-04-15,Print,1878.14,713,0.98,701,111202.85
Back to School Campaign 22,2023-04-21,2023-05-10,Print,6126.26,641,0.69,443,154315.13
Q3 Blitz Campaign 23,2023-03-25,2023-04-22,Email,8576.21,902,0.96,867,114051.92
Summer Sale Campaign 24,2023-06-11,2023-06-22,Radio,8653.37,222,0.65,144,71803.07
Q3 Blitz Campaign 25,2023-05-16,2023-06-13,Social Media,7062.01,136,0.28,38,15000.97
Holiday Special Campaign 26,2023-04-16,2023-05-12,TV,6150.86,373,0.71,264,52157.4
Q3 Blitz Campaign 27,2023-06-01,2023-06-11,Email,4894.21,966,0.14,132,18114.36
Summer Sale Campaign 28,2023-02-22,2023-03-17,Print,4686.36,168,0.69,116,15250.75
Winter Promo Campaign 29,2023-03-08,2023-03-15,Radio,4613.45,902,0.64,579,108389.26
Q1 Launch Campaign 30,2023-03-13,2023-03-25,TV,9865.39,69,0.64,44,11286.42
Winter Promo Campaign 31,2023-04-12,2023-05-07,Social Media,6646.9,734,0.02,16,3989.36
Q3 Blitz Campaign 32,2023-04-12,2023-04-25,Google Ads,9062.71,208,0.74,154,56672.63
Back to School Campaign 33,2023-01-11,2023-01-29,Social Media,6681.75,925,0.76,703,96078.74
Q1 Launch Campaign 34,2023-03-12,2023-04-06,Radio,2181.5,289,0.91,264,106607.26
Q1 Launch Campaign 35,2023-02-22,2023-03-24,Google Ads,7232.33,708,0.57,403,166055.84
Winter Promo Campaign 36,2023-01-20,2023-01-30,TV,8481.14,543,0.85,463,166643.29
Q1 Launch Campaign 37,2023-05-07,2023-05-21,Email,3307.68,93,0.97,90,39603.6
Winter Promo Campaign 38,2023-02-01,2023-02-16,Google Ads,7887.59,92,0.41,38,12087.2
Winter Promo Campaign 39,2023-06-23,2023-07-07,Social Media,6656.73,101,0.41,41,12825.26
Q3 Blitz Campaign 40,2023-04-28,2023-05-15,Radio,6605.01,532,0.35,187,56415.27
Holiday Special Campaign 41,2023-01-31,2023-02-22,Radio,2680.51,407,0.61,250,60174.79
Winter Promo Campaign 42,2023-01-15,2023-01-24,TV,8646.53,249,0.75,186,37460.4
Holiday Special Campaign 43,2023-02-03,2023-02-14,Social Media,1465.7,737,0.93,683,162911.58
Q1 Launch Campaign 44,2023-03-12,2023-04-03,Email,3690.43,573,0.37,212,49458.75
Summer Sale Campaign 45,2023-04-29,2023-05-29,Google Ads,2120.91,679,0.41,277,102572.55
Back to School Campaign 46,2023-03-13,2023-03-27,Google Ads,1024.4,990,0.28,273,127548.7
Holiday Special Campaign 47,2023-05-21,2023-05-30,TV,9882.73,160,0.74,118,14211.85
Winter Promo Campaign 48,2023-03-14,2023-03-28,Email,6328.38,556,0.36,200,26282.98
Summer Sale Campaign 49,2023-03-14,2023-03-30,Email,4912.36,876,0.09,78,14053.32
Back to School Campaign 50,2023-04-19,2023-04-27,Radio,6454.35,979,0.2,194,55316.85
Back to School Campaign 51,2023-02-11,2023-03-11,Print,9860.86,447,0.34,150,38487.81
Q1 Launch Campaign 52,2023-04-20,2023-05-05,Print,2746.51,596,0.95,567,70417.68
Summer Sale Campaign 53,2023-03-02,2023-03-09,Radio,1954.84,316,0.34,109,5977.63
Summer Sale Campaign 54,2023-01-18,2023-02-11,Google Ads,8487.48,182,0.32,58,14507.88
Q1 Launch Campaign 55,2023-06-05,2023-06-28,Radio,2321.62,520,0.37,193,59896.59
Winter Promo Campaign 56,2023-06-17,2023-07-11,Email,5997.86,334,0.34,115,43329.67
Back to School Campaign 57,2023-06-09,2023-06-19,Email,2949.09,130,0.56,73,23299.18
Holiday Special Campaign 58,2023-05-20,2023-06-13,TV,4099.98,879,0.37,327,32308.5
Q1 Launch Campaign 59,2023-04-08,2023-04-27,Print,4710.59,504,0.48,243,85470.59
Holiday Special Campaign 60,2023-03-24,2023-04-11,TV,1990.39,329,0.26,84,12058.79
Winter Promo Campaign 61,2023-02-04,2023-02-26,TV,5421.62,846,0.31,263,110301.36
Holiday Special Campaign 62,2023-04-05,2023-04-12,Print,9881.1,857,0.01,10,2569.66
Q3 Blitz Campaign 63,2023-02-11,2023-03-11,Print,8738.69,669,0.32,216,29113.89
Winter Promo Campaign 64,2023-06-12,2023-06-29,Print,1436.51,988,0.06,58,22605.02
Summer Sale Campaign 65,2023-05-05,2023-05-25,Social Media,1396.65,371,0.19,71,32070.62
Back to School Campaign 66,2023-06-20,2023-07-15,TV,9869.78,51,0.27,14,5889.15
Summer Sale Campaign 67,2023-06-21,2023-07-17,Print,7515.15,450,0.42,189,54286.97
Winter Promo Campaign 68,2023-02-10,2023-02-24,Email,8492.51,758,0.52,392,22302.63
Back to School Campaign 69,2023-06-27,2023-07-04,Social Media,7367.2,770,0.01,10,1593.67
Holiday Special Campaign 70,2023-04-05,2023-04-25,Print,7153.84,644,0.31,201,73899.04
Back to School Campaign 71,2023-03-27,2023-04-23,Email,1202.33,511,0.24,125,59874.84
Summer Sale Campaign 72,2023-04-05,2023-04-20,Email,6315.95,366,0.85,312,73567.26
Q3 Blitz Campaign 73,2023-06-22,2023-07-10,TV,6997.32,72,0.9,65,7946.71
Q3 Blitz Campaign 74,2023-05-29,2023-06-27,Email,5746.72,642,0.63,402,91190.8
Back to School Campaign 75,2023-01-17,2023-01-27,Email,9228.02,680,0.86,586,268472.75
Q1 Launch Campaign 76,2023-05-23,2023-06-02,Google Ads,6872.55,808,0.85,684,204101
Q1 Launch Campaign 77,2023-04-28,2023-05-23,Email,1619.57,180,0.09,16,7790.06
Q1 Launch Campaign 78,2023-06-17,2023-07-12,Print,8132.71,604,0.95,571,98225.91
Holiday Special Campaign 79,2023-02-03,2023-03-03,Google Ads,2094.08,526,0.67,351,164569
Winter Promo Campaign 80,2023-06-13,2023-06-29,TV,3347.34,400,0.22,89,31121.11
Q1 Launch Campaign 81,2023-04-07,2023-04-16,Print,6556.97,652,0.85,557,91035.09
Holiday Special Campaign 82,2023-06-21,2023-06-29,Google Ads,5468.38,354,0.49,174,49033.32
Summer Sale Campaign 83,2023-06-20,2023-06-27,Social Media,7886.46,654,0.14,90,44360.61
Holiday Special Campaign 84,2023-05-08,2023-05-25,TV,2474.28,501,0.12,59,11183.77
Summer Sale Campaign 85,2023-03-14,2023-04-09,Print,9321.63,53,0.74,39,5952.21
Summer Sale Campaign 86,2023-03-05,2023-03-19,Social Media,5280.34,400,0.78,313,42032.99
Back to School Campaign 87,2023-02-05,2023-03-03,Print,7428.73,794,0.94,743,345183.35
Q3 Blitz Campaign 88,2023-03-02,2023-03-15,Social Media,7786.44,100,0.89,89,21390.99
Summer Sale Campaign 89,2023-01-30,2023-02-09,Email,4744.37,736,0.93,688,143329.75
Winter Promo Campaign 90,2023-01-15,2023-02-13,Print,3474.24,779,0.51,398,144919.49
Holiday Special Campaign 91,2023-06-28,2023-07-15,TV,4187.65,208,0.17,35,5225.13
Back to School Campaign 92,2023-04-04,2023-04-26,Print,3195.89,591,0.28,165,11321.44
Holiday Special Campaign 93,2023-01-09,2023-02-04,Social Media,1804.88,358,0.46,164,81285
Q1 Launch Campaign 94,2023-03-29,2023-04-27,Print,8586.88,549,0.25,138,54585.69
Winter Promo Campaign 95,2023-01-14,2023-02-01,Email,7817.17,583,0.71,414,93790.37
Back to School Campaign 96,2023-06-18,2023-07-17,Google Ads,8137.09,739,0.53,389,170691.02
Q1 Launch Campaign 97,2023-05-25,2023-06-03,Print,1524.6,347,0.12,43,3736.12
Winter Promo Campaign 98,2023-05-07,2023-05-24,Social Media,2627.43,218,0.23,50,6246.91
Q1 Launch Campaign 99,2023-03-07,2023-03-21,TV,4649.76,661,0.38,249,121019.97
Holiday Special Campaign 100,2023-05-15,2023-05-22,TV,1233.25,312,0.46,145,31731
Summer Sale Campaign 101,2023-02-03,2023-02-16,Google Ads,9767.55,218,0.19,41,5591
Winter Promo Campaign 102,2023-04-19,2023-04-28,TV,7311.24,499,0.48,242,14222.1
Back to School Campaign 103,2023-05-07,2023-05-18,Google Ads,7310.48,728,0.38,276,109047.32
Summer Sale Campaign 104,2023-04-06,2023-05-01,Print,4837.43,398,0.91,362,83773.59
Q1 Launch Campaign 105,2023-03-06,2023-04-01,Google Ads,8787.71,443,0.38,168,56855.37
Back to School Campaign 106,2023-05-08,2023-06-06,Email,3711.65,531,0.9,478,56960.65
Holiday Special Campaign 107,2023-06-23,2023-07-17,Radio,4959.6,956,0.07,64,13551.5
Summer Sale Campaign 108,2023-05-07,2023-06-02,Radio,1148.33,378,0.81,305,64190.69
Holiday Special Campaign 109,2023-04-05,2023-04-27,TV,4664.87,471,0.83,392,70019.89
Q3 Blitz Campaign 110,2023-05-03,2023-05-17,Email,7825.74,689,0.32,220,63222.45
Q1 Launch Campaign 111,2023-04-13,2023-04-24,Social Media,1370.8,780,0.98,765,310975.03
Q1 Launch Campaign 112,2023-03-03,2023-03-13,Social Media,6989.61,571,0.5,285,71306.01
Back to School Campaign 113,2023-06-25,2023-07-10,Email,7354.27,455,0.12,56,18279.44
Winter Promo Campaign 114,2023-03-21,2023-04-16,Google Ads,6340.08,518,0.73,380,125737.22
Q1 Launch Campaign 115,2023-05-11,2023-05-31,Radio,1500.43,157,0.85,134,11935.11
Summer Sale Campaign 116,2023-02-09,2023-03-05,Email,4701.94,104,0.23,24,7069.43
Q3 Blitz Campaign 117,2023-03-25,2023-04-11,Radio,6849.8,861,0.47,402,88899.81
Winter Promo Campaign 118,2023-04-02,2023-05-01,Social Media,6038.57,360,0.71,257,33154.12
Winter Promo Campaign 119,2023-03-09,2023-03-20,TV,1511.89,208,0.12,26,6401.72
Summer Sale Campaign 120,2023-02-18,2023-03-08,Print,5155.35,256,0.41,106,50397.13
Summer Sale Campaign 121,2023-05-29,2023-06-28,TV,5422.29,265,0.35,92,31268.88
Q3 Blitz Campaign 122,2023-05-25,2023-06-19,Print,4651.75,102,0.14,14,6483.35
Holiday Special Campaign 123,2023-06-28,2023-07-20,Print,7117.27,362,0.62,224,75825.57
Holiday Special Campaign 124,2023-02-11,2023-02-20,Email,3500.47,525,0.47,245,48477.2
Winter Promo Campaign 125,2023-03-06,2023-03-25,TV,3483.91,328,0.88,288,84110.56
Q3 Blitz Campaign 126,2023-03-09,2023-04-05,Social Media,1256.35,545,0.13,71,26778.23
Q1 Launch Campaign 127,2023-01-17,2023-02-12,Social Media,8652.69,580,0.77,447,36408.21
Q3 Blitz Campaign 128,2023-05-30,2023-06-20,Radio,5405.92,606,0.28,169,52594.02
Back to School Campaign 129,2023-06-13,2023-07-04,Social Media,2290.83,683,0.73,498,209034.03
Q3 Blitz Campaign 130,2023-01-18,2023-01-31,Social Media,2295.16,983,0.38,371,100201.95
Back to School Campaign 131,2023-03-19,2023-04-12,Print,4896.76,691,0.64,444,219987.17
Summer Sale Campaign 132,2023-01-07,2023-01-31,TV,7916.21,432,0.89,385,149343.06
Summer Sale Campaign 133,2023-01-08,2023-01-17,Social Media,1077.44,870,0.4,344,91192.35
Holiday Special Campaign 134,2023-03-28,2023-04-23,Radio,3095.66,300,0.81,242,49539.04
Back to School Campaign 135,2023-01-22,2023-02-05,Print,4108.89,412,0.05,21,10435.5
Holiday Special Campaign 136,2023-03-26,2023-04-05,Email,8758.65,112,0.37,41,10798.28
Q3 Blitz Campaign 137,2023-04-11,2023-04-21,Radio,7354.57,964,0.87,838,216919.49
Holiday Special Campaign 138,2023-06-16,2023-07-01,Radio,9050.5,763,1,763,171485.08
Holiday Special Campaign 139,2023-02-01,2023-02-26,Print,2891.2,695,0.63,439,104753.43
Holiday Special Campaign 140,2023-01-31,2023-02-17,Radio,5234.08,940,0.09,85,41176.78
Back to School Campaign 141,2023-05-30,2023-06-11,Print,8285.29,297,0.48,143,47520.81
Winter Promo Campaign 142,2023-04-20,2023-05-08,TV,6836.62,524,0.54,284,62819.9
Back to School Campaign 143,2023-05-28,2023-06-10,Social Media,8605.1,475,0.03,15,5672.85
Winter Promo Campaign 144,2023-03-02,2023-03-21,TV,1957.43,557,0.31,174,11737.22
Q3 Blitz Campaign 145,2023-02-25,2023-03-14,Print,4933.59,155,0.68,105,7985.79
Q3 Blitz Campaign 146,2023-06-30,2023-07-10,Email,8751.51,298,0.58,172,11508.16
Holiday Special Campaign 147,2023-06-29,2023-07-13,Google Ads,9367.81,761,0.49,373,121889.43
Summer Sale Campaign 148,2023-06-09,2023-06-29,Social Media,3185.32,427,0.79,338,88900.48
Q1 Launch Campaign 149,2023-06-02,2023-06-16,TV,6259.09,664,0.37,246,25402.99
Q3 Blitz Campaign 150,2023-02-06,2023-02-16,Social Media,9390.57,656,0.09,60,29906.42
Back to School Campaign 151,2023-06-29,2023-07-08,Radio,2162.25,121,0.51,62,28950.16
Q3 Blitz Campaign 152,2023-04-09,2023-04-26,TV,1483.48,696,0.73,510,251713.23
Holiday Special Campaign 153,2023-03-21,2023-04-02,Google Ads,1028.44,817,0.7,571,69271.58
Back to School Campaign 154,2023-03-31,2023-04-27,TV,6625.58,872,0.4,353,42630.23
Q1 Launch Campaign 155,2023-06-29,2023-07-19,Social Media,4668.54,500,0.61,306,118535.01
Q3 Blitz Campaign 156,2023-05-15,2023-06-07,Google Ads,2152.41,761,0.55,422,35536.65
Q1 Launch Campaign 157,2023-02-03,2023-02-12,Google Ads,7382.66,302,0.47,143,10153.23
Winter Promo Campaign 158,2023-01-09,2023-02-01,TV,8755.42,463,0.5,233,99653.76
Q1 Launch Campaign 159,2023-01-17,2023-02-16,Social Media,9266.54,912,0.32,290,32903.53
Q1 Launch Campaign 160,2023-01-04,2023-01-23,Email,7453.68,406,0.34,140,51632.02
Winter Promo Campaign 161,2023-01-19,2023-02-01,TV,5321.9,167,0.74,124,16528.62
Winter Promo Campaign 162,2023-01-08,2023-01-27,Print,9698.98,860,0.42,363,177626.74
Holiday Special Campaign 163,2023-04-01,2023-04-15,Social Media,9169.64,211,0.58,123,25160.76
Holiday Special Campaign 164,2023-06-16,2023-06-29,Print,8183.88,988,0.7,694,279026.04
Q3 Blitz Campaign 165,2023-02-19,2023-02-27,Print,5325.55,313,0.65,204,18571.2
Q1 Launch Campaign 166,2023-03-26,2023-04-09,Radio,4036.51,725,0.93,677,305735.83
Summer Sale Campaign 167,2023-06-23,2023-07-19,Radio,2491.92,59,0.54,32,11328.39
Q3 Blitz Campaign 168,2023-04-02,2023-04-29,Google Ads,9378.32,752,0.61,461,179318.49
Q3 Blitz Campaign 169,2023-02-21,2023-03-15,Print,9401.8,98,0.37,36,17117.21
Back to School Campaign 170,2023-05-25,2023-06-10,Email,9624.05,270,0.55,149,25693.46
Winter Promo Campaign 171,2023-01-27,2023-02-04,Radio,3372.8,248,0.54,134,48378.17
Q1 Launch Campaign 172,2023-01-02,2023-01-21,Google Ads,3846.16,376,0.97,366,55504.33
Summer Sale Campaign 173,2023-02-16,2023-03-09,Print,9541.65,151,0.65,98,23606.3
Q1 Launch Campaign 174,2023-05-20,2023-06-06,Radio,8115.19,493,0.45,222,28276.03
Q3 Blitz Campaign 175,2023-02-13,2023-02-25,Social Media,8573.91,363,0.07,26,7581.51
Back to School Campaign 176,2023-04-15,2023-04-29,Print,1424.09,872,0.1,90,13779.1
Summer Sale Campaign 177,2023-05-03,2023-05-12,Google Ads,1081.8,106,1,106,41937.01
Summer Sale Campaign 178,2023-06-02,2023-06-29,Google Ads,9149.98,694,0.86,595,29849.21
Holiday Special Campaign 179,2023-05-22,2023-06-07,Social Media,7713.25,99,0.9,89,15316.08
Q1 Launch Campaign 180,2023-03-17,2023-03-29,Google Ads,3171.92,909,0.65,595,40331.51
Winter Promo Campaign 181,2023-06-18,2023-07-06,Google Ads,4645.03,657,0.03,17,5317.03
Q3 Blitz Campaign 182,2023-04-27,2023-05-05,TV,8715.74,134,0.19,26,3939.28
Winter Promo Campaign 183,2023-03-13,2023-03-25,Social Media,1653.65,964,0.14,138,53841.05
Holiday Special Campaign 184,2023-03-17,2023-04-05,TV,1147.86,231,0.51,118,26794.04
Q3 Blitz Campaign 185,2023-06-17,2023-07-05,Radio,4599.63,859,0.28,241,81444.37
Back to School Campaign 186,2023-03-26,2023-04-07,Print,1034,242,0.37,89,11423
Q1 Launch Campaign 187,2023-06-17,2023-07-13,Print,9636.56,587,0.41,240,58764.28
Q1 Launch Campaign 188,2023-05-10,2023-05-18,TV,1996.51,85,0.81,69,10165.26
Q3 Blitz Campaign 189,2023-01-18,2023-02-02,Print,4807.15,356,0.34,120,51254.18
Back to School Campaign 190,2023-04-25,2023-05-14,Email,1536.24,295,0.97,287,36184.92
Holiday Special Campaign 191,2023-04-03,2023-04-30,Social Media,6363.55,753,0.76,575,264161.4
Q3 Blitz Campaign 192,2023-05-06,2023-05-24,Radio,5521.3,324,0.14,46,10289.69
Holiday Special Campaign 193,2023-04-06,2023-04-29,Print,8766.44,912,0.06,58,25262.89
Winter Promo Campaign 194,2023-01-21,2023-01-28,Social Media,2491.9,764,0.84,639,79526.59
Q3 Blitz Campaign 195,2023-02-22,2023-03-13,Google Ads,6989.2,498,0.39,196,15081.59
Summer Sale Campaign 196,2023-02-24,2023-03-25,Radio,1335.25,215,0.18,39,5445.95
Q1 Launch Campaign 197,2023-02-23,2023-03-17,Email,2083.62,645,0.53,340,22123.26
Q1 Launch Campaign 198,2023-02-05,2023-02-17,Print,9021.71,496,0.38,189,70772.6
Back to School Campaign 199,2023-05-27,2023-06-12,Radio,2634.43,98,0.23,23,8818.34
Q1 Launch Campaign 200,2023-02-06,2023-02-20,Radio,1416.64,977,0.14,137,65715.15
Winter Promo Campaign 201,2023-04-30,2023-05-29,Social Media,2146.22,427,0.26,111,47829.32
Holiday Special Campaign 202,2023-01-21,2023-02-16,Google Ads,1519.2,868,0.67,579,79113.73
Holiday Special Campaign 203,2023-06-20,2023-07-06,Radio,8199.3,463,0.05,24,6414.72
Winter Promo Campaign 204,2023-04-11,2023-04-22,Radio,1031.93,272,0.55,149,45531.73
Winter Promo Campaign 205,2023-04-10,2023-04-21,Google Ads,8149.19,215,0.72,154,44339.15
Q1 Launch Campaign 206,2023-02-26,2023-03-21,Radio,1298.54,699,0.63,443,42265.48
Summer Sale Campaign 207,2023-06-15,2023-07-02,Social Media,4906.96,317,0.21,65,28669.28
Back to School Campaign 208,2023-01-13,2023-02-03,Print,7646.21,241,0.19,46,13215.92
Winter Promo Campaign 209,2023-02-24,2023-03-19,Print,4731.65,358,0.18,65,15720.29
Holiday Special Campaign 210,2023-01-09,2023-01-29,Radio,3663.83,938,0.66,621,292964.4
Q3 Blitz Campaign 211,2023-05-11,2023-05-21,Email,7375.05,730,0.9,654,323378.68
Q3 Blitz Campaign 212,2023-03-17,2023-04-04,Print,3241.95,941,0.15,142,22213.56
Back to School Campaign 213,2023-05-20,2023-06-19,Print,7438.63,288,0.41,117,17546.48
Q3 Blitz Campaign 214,2023-01-23,2023-02-11,Google Ads,1191.85,217,0.59,128,49542.56
Back to School Campaign 215,2023-03-05,2023-03-17,TV,5247.14,83,0.41,34,15367.53
Q3 Blitz Campaign 216,2023-01-29,2023-02-28,TV,3037.54,529,0.69,366,90356.07
Back to School Campaign 217,2023-02-12,2023-03-08,Social Media,6165.34,88,0.31,27,9023.86
Q3 Blitz Campaign 218,2023-02-11,2023-02-28,Social Media,5638.33,873,0.93,808,295251.22
Summer Sale Campaign 219,2023-01-22,2023-02-04,Google Ads,9812.82,579,0.88,511,69924.73
Holiday Special Campaign 220,2023-05-19,2023-06-01,Radio,1565.23,754,0.51,383,105165.39
Q1 Launch Campaign 221,2023-01-15,2023-01-29,Social Media,2137.19,819,0.9,735,261004.47
Winter Promo Campaign 222,2023-02-06,2023-02-24,Google Ads,8492.33,259,0.29,76,6927.81
Winter Promo Campaign 223,2023-01-30,2023-02-28,TV,9155.76,127,0.1,13,2724.18
Q1 Launch Campaign 224,2023-02-05,2023-03-06,Social Media,3882.54,564,0.39,219,26059.61
Q1 Launch Campaign 225,2023-03-29,2023-04-21,Radio,9091.82,290,1,290,19475.46
Summer Sale Campaign 226,2023-01-27,2023-02-10,Social Media,5415.62,421,0.43,180,31872.7
Winter Promo Campaign 227,2023-05-16,2023-05-30,Radio,3338.19,482,0.29,140,56187.67
Holiday Special Campaign 228,2023-02-01,2023-02-20,Print,6161.13,584,0.43,251,100385.09
Winter Promo Campaign 229,2023-05-19,2023-06-07,Social Media,4669.21,900,0.07,67,6496.5
Back to School Campaign 230,2023-01-24,2023-02-09,TV,7456.94,702,0.71,498,245869.91
Summer Sale Campaign 231,2023-05-29,2023-06-16,Print,3531.65,416,0.04,18,8266.29
Back to School Campaign 232,2023-06-08,2023-07-05,Social Media,7219.93,928,0.66,614,114798.94
Winter Promo Campaign 233,2023-01-15,2023-02-10,Social Media,4655.66,591,0.86,511,170048.05
Summer Sale Campaign 234,2023-05-08,2023-05-27,Radio,2738.04,893,0.24,214,81933.27
